City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
367,ailuk,10.2197,169.9797,26.42,78,100,8.77,MH,2024-01-30 23:59:31-05:00
368,ust'-ilimsk,58.0006,102.6619,-20.99,78,30,0.89,RU,2024-01-30 23:59:11-05:00
369,dvurechensk,56.5982,61.0953,-5.79,97,87,1.55,RU,2024-01-30 23:59:32-05:00
370,yamada,39.4667,141.95,9.77,58,83,5.21,JP,2024-01-30 23:59:32-05:00
371,prado,-17.3411,-39.2208,23.88,94,96,3.03,BR,2024-01-30 23:59:33-05:00
372,ivins,37.1686,-113.6794,13.96,56,0,0.89,US,2024-01-30 23:59:33-05:00
373,san patricio,28.017,-97.5169,14.91,69,100,1.91,US,2024-01-30 23:59:34-05:00
374,ciudad gustavo diaz ordaz,26.2333,-98.5833,16.12,80,100,3.45,MX,2024-01-30 23:59:34-05:00
375,arauca,7.0847,-70.7591,27.61,46,91,0.16,CO,2024-01-30 23:59:35-05:00
376,amarante do maranhao,-5.5667,-46.7422,22.27,97,72,0.39,BR,2024-01-30 23:59:35-05:00
377,port hedland,-20.3167,118.5667,34.03,62,43,7.72,AU,2024-01-30 23:59:36-05:00
378,heroica ciudad de tlaxiaco,17.2667,-97.6833,12.07,63,69,1.25,MX,2024-01-30 23:59:37-05:00
379,ciudad guayana,8.3533,-62.6528,26.96,81,50,2.49,VE,2024-01-30 23:59:37-05:00
380,moab,38.5733,-109.5498,6.38,60,0,0.74,US,2024-01-30 23:59:38-05:00
381,al bawiti,28.3492,28.8659,7.61,54,18,3.84,EG,2024-01-30 23:59:38-05:00
382,playa blanca,28.8643,-13.8281,19.06,69,100,5.95,ES,2024-01-30 23:59:39-05:00
383,boa vista,2.8197,-60.6733,25.99,78,0,2.06,BR,2024-01-30 23:58:34-05:00
384,anaconda,46.1285,-112.9423,-0.45,74,73,2.55,US,2024-01-30 23:59:39-05:00
385,lamu,-2.2717,40.902,28.12,82,97,4.55,KE,2024-01-30 23:59:40-05:00
386,jamestown,42.097,-79.2353,0.86,94,40,2.57,US,2024-01-30 23:59:40-05:00
387,barwala,29.3833,75.9167,18.49,39,48,3.82,IN,2024-01-30 23:59:41-05:00
388,ploudalmezeau,48.5333,-4.65,7.14,87,75,3.6,FR,2024-01-30 23:59:41-05:00
389,markaz-e hukumat-e darweshan,31.1323,64.1934,9.91,37,47,4.42,AF,2024-01-30 23:59:42-05:00
390,estancia,-11.2683,-37.4383,22.36,91,2,0.74,BR,2024-01-30 23:59:42-05:00
391,medina,24.4686,39.6142,11.24,37,0,0.0,SA,2024-01-30 23:59:43-05:00
392,morant bay,17.8815,-76.4093,24.79,84,54,3.15,JM,2024-01-30 23:59:43-05:00
393,kalmunai,7.4167,81.8167,27.99,77,9,1.92,LK,2024-01-30 23:59:43-05:00
394,vishnevogorsk,55.9913,60.6579,-10.12,96,87,1.61,RU,2024-01-30 23:59:44-05:00
395,loreto,22.2667,-101.9667,14.64,45,100,0.66,MX,2024-01-30 23:59:44-05:00
396,rio grande,-32.035,-52.0986,20.52,90,11,1.39,BR,2024-01-30 23:59:45-05:00
